Pierre-Edouard Bellemare 
Andre Burakovsky 
Matt Calvert 
J.T. Compher 
Joonas Donskoi 
Tyson Jost 
Nazem Kadri 
Gabriel Landeskog
Nathan MacKinnon
Jayson Megna 
Alex Newhook 
Valeri Nichushkin 
Liam O'Brien 
Logan O'Connor 
Mikko Rantanen 
Brandon Saad 
Kiefer Sherwood 
Carl Soderberg 
Kyle Burroughs 
Bowen Byram 
Dennis Gilbert 
Samuel Girard 
Ryan Graves 
Erik Johnson
Jacob MacDonald 
Cale Makar 
Patrik Nemeth 
Dan Renouf 
Conor Timmins 
Devon Toews 
Devan Dubnyk 
Pavel Francouz 
Philipp Grubauer 
